City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,36,5,7,0.47,3,113,68,7
阿克苏地区,43,13,32,0.65,24,72,84,5
阿拉善盟,71,31,89,0.63,6,141,114,7
阿勒泰地区,31,6,6,0.15,30,71,60,4
阿里地区,50,0,0,0.5,3,124,99,7
安康,61,29,69,0.5,8,126,69,10
安庆,56,25,60,0.52,10,140,96,7
鞍山,68,23,58,0.77,16,151,120,15
安顺,32,14,20,0.57,8,59,63,5
安阳,71,26,90,0.5,9,172,111,8
白城,82,23,111,0.3,7,141,102,7
百色,55,30,58,0.65,9,75,59,7
白山,47,10,27,0.4,5,127,93,7
白银,55,15,27,0.6,10,118,104,5
保定,98,36,79,0.78,16,197,107,22
宝鸡,72,47,91,0.78,45,63,38,9
保山,106,79,135,1.0,48,73,47,8
包头,64,38,75,0.68,15,149,87,13
巴彦淖尔,76,22,99,0.73,7,135,100,6
巴中,45,26,44,0.55,11,80,45,4
北海,38,22,37,1.0,14,77,55,10
北京,96,71,85,0.58,22,169,76,11
蚌埠,66,28,56,0.42,9,151,118,9
本溪,66,30,79,1.45,30,132,82,31
毕节,56,37,60,0.0,16,61,52,25
滨州,103,23,92,0.73,15,204,162,14
博州,57,15,61,0.3,6,95,60,4
亳州,79,20,67,0.5,11,176,133,12
沧州,80,25,67,0.43,11,168,134,15
长春,48,8,37,0.37,7,118,95,3
常德,68,40,83,0.78,6,169,97,8
昌都,43,13,17,0.5,7,112,85,9
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,89,36,126,0.67,13,96,59,13
长沙,64,24,67,0.58,12,170,93,7
常熟,48,22,47,0.57,22,131,81,16
长治,71,33,58,0.5,9,167,124,10
常州,49,25,48,0.62,31,115,72,9
朝阳,81,24,57,0.65,8,173,136,10
潮州,56,23,58,0.7,8,138,105,10
承德,62,18,72,0.84,21,144,90,27
成都,60,42,60,0.69,18,78,66,4
郴州,56,30,59,0.72,7,116,73,9
赤峰,49,10,41,0.35,17,145,96,10
池州,65,31,77,0.63,20,152,94,10
重庆,49,26,48,0.79,28,53,33,8
崇左,53,31,53,0.75,7,96,73,5
楚雄州,52,28,52,0.5,5,120,88,11
滁州,57,32,61,0.4,17,130,86,9
大连,96,30,64,0.51,17,174,153,10
大理州,50,27,49,0.65,7,108,88,5
丹东,77,56,93,0.93,14,167,117,19
大庆,46,11,42,0.33,8,112,90,4
大同,67,32,81,0.55,16,169,91,17
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,56,9,60,0.35,7,111,77,6
达州,76,52,100,1.04,52,44,20,14
德宏州,70,35,87,1.0,10,115,51,6
德阳,61,43,68,0.57,7,79,46,4
德州,94,70,88,0.33,10,180,133,6
定西,38,13,16,0.35,7,100,75,1
迪庆州,46,7,17,0.4,0,0,90,23
东莞,46,26,45,0.74,19,93,56,10
东营,115,33,96,0.5,11,227,151,18
鄂尔多斯,67,29,81,0.76,17,144,113,14
恩施州,58,22,63,0.45,17,107,61,5
鄂州,65,30,77,0.7,15,160,100,14
防城港,49,31,48,0.9,14,81,53,6
佛山,40,22,39,0.8,26,110,47,4
抚顺,70,33,88,0.97,24,141,102,33
阜新,48,12,41,0.36,8,141,95,15
阜阳,74,21,65,0.4,20,169,127,7
富阳,0,0,0,0.0,0,0,0,0
福州,53,10,26,0.26,4,126,102,4
抚州,73,44,93,0.8,5,122,79,7
甘南州,38,8,27,0.8,10,107,75,3
赣州,50,29,49,1.28,7,108,67,6
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,19,6,9,0.4,14,59,37,24
广安,38,16,37,0.58,15,87,56,8
广元,41,25,40,0.6,21,59,47,13
广州,46,24,45,0.73,24,107,57,7
贵港,46,26,45,0.83,9,86,52,12
桂林,80,58,108,1.02,23,95,72,12
贵阳,53,32,54,0.5,14,71,60,5
果洛州,36,20,22,0.4,7,96,71,20
固原,40,23,37,1.0,17,87,79,9
哈尔滨,45,14,44,0.45,12,121,83,11
海北州,73,9,17,0.5,7,147,126,14
海东地区,42,29,34,0.4,13,84,54,5
海口,50,15,35,0.76,8,109,98,3
海门,51,16,50,0.55,12,94,72,11
海南州,67,11,30,0.6,3,129,119,10
海西州,57,12,58,0.4,12,126,107,8
哈密地区,47,11,46,0.6,4,121,91,2
邯郸,75,35,85,0.38,8,179,126,6
杭州,62,25,61,0.47,20,168,94,10
汉中,60,28,68,0.7,11,93,72,7
鹤壁,72,38,73,0.2,8,176,117,10
河池,57,31,61,0.6,6,91,47,10
合肥,52,13,51,0.46,16,149,99,6
鹤岗,49,5,15,0.5,3,111,97,6
黑河,57,10,62,0.47,6,106,86,7
衡水,93,25,68,0.47,11,193,143,12
衡阳,61,34,70,0.77,10,151,76,12
和田地区,182,70,311,0.4,11,101,95,6
河源,54,29,56,0.8,6,118,79,5
菏泽,77,28,84,0.37,15,162,131,8
贺州,59,41,63,0.4,11,80,63,11
红河州,44,22,43,0.8,7,102,86,7
淮安,67,16,57,0.46,15,164,119,6
淮北,86,30,65,0.37,11,181,142,10
怀化,75,52,97,0.94,10,101,57,7
淮南,75,21,50,0.32,12,152,128,8
黄冈,72,31,91,0.0,14,171,107,12
黄南州,51,13,50,0.6,7,81,55,11
黄山,54,24,55,0.33,13,117,82,11
黄石,66,31,80,0.83,12,162,104,12
呼和浩特,68,36,84,0.75,20,150,85,16
惠州,52,22,52,0.56,14,102,82,7
葫芦岛,80,58,95,1.05,22,154,102,14
呼伦贝尔,48,16,40,0.3,6,116,95,2
湖州,69,44,85,0.63,41,124,81,14
佳木斯,49,10,20,0.24,5,113,96,5
吉安,82,60,103,0.55,11,146,88,23
江门,50,24,49,0.86,24,102,39,8
江阴,58,17,44,0.3,24,165,103,9
胶南,66,29,80,1.3,32,164,117,15
胶州,85,24,54,0.4,11,163,140,6
焦作,75,32,71,0.45,15,170,128,8
嘉兴,50,9,36,0.3,9,118,98,6
嘉峪关,78,34,103,0.6,9,130,100,14
揭阳,60,25,62,0.75,11,145,110,9
吉林,50,9,25,0.43,6,133,98,5
即墨,90,31,71,0.4,11,177,146,8
济南,83,33,77,0.4,16,181,138,10
金昌,66,19,31,0.5,7,146,118,22
晋城,70,20,78,0.45,8,175,110,8
景德镇,56,18,59,0.4,3,134,87,4
荆门,73,36,93,0.66,15,143,95,8
荆州,63,34,73,0.63,11,154,94,10
金华,75,17,57,0.37,13,179,117,6
济宁,100,44,80,0.63,11,199,139,14
金坛,54,14,51,0.75,11,143,103,5
晋中,56,25,52,0.4,9,155,105,6
锦州,74,37,96,0.96,32,143,102,14
九江,66,34,80,0.65,16,140,86,11
酒泉,61,22,70,0.35,9,128,85,8
鸡西,37,10,21,0.35,7,84,72,2
句容,63,14,31,0.7,8,169,107,6
开封,76,31,99,0.54,11,169,124,9
喀什地区,40,17,37,0.47,13,126,73,6
克拉玛依,54,11,55,0.32,7,90,69,5
克州,46,0,0,0.0,1,114,90,7
库尔勒,47,11,33,0.4,6,113,93,5
昆明,53,27,54,0.7,14,106,88,8
昆山,57,20,61,0.5,26,125,91,7
来宾,67,44,82,0.8,14,94,86,13
莱芜,88,65,99,0.67,18,89,77,10
莱西,66,18,51,0.4,7,154,117,6
莱州,0,0,0,0.0,0,0,0,0
廊坊,106,37,81,0.83,19,210,132,14
兰州,42,17,37,0.74,17,106,83,6
拉萨,54,11,27,0.38,7,117,103,5
乐山,43,30,38,0.66,22,61,49,4
凉山州,50,19,37,0.74,9,156,88,13
连云港,63,24,46,0.56,10,151,114,12
聊城,97,36,102,0.47,10,196,136,11
辽阳,62,24,72,1.23,21,139,101,24
辽源,47,12,22,0.5,7,134,92,15
丽江,61,9,34,0.5,5,118,112,6
临安,53,16,44,0.5,17,142,102,7
临沧,70,50,82,0.8,10,113,68,9
临汾,63,38,71,0.98,13,169,107,18
临夏州,36,10,21,0.45,6,110,71,7
临沂,73,32,69,0.45,16,177,119,10
林芝,29,11,9,0.35,5,81,57,7
林芝地区,18,4,16,0.35,6,51,35,3
丽水,53,17,53,0.33,9,124,96,7
六盘水,52,28,51,0.52,12,66,73,8
柳州,60,42,67,0.82,12,100,85,11
溧阳,51,18,46,0.85,10,160,95,6
陇南,62,5,9,0.35,2,111,113,4
龙岩,47,17,38,0.5,6,120,93,7
娄底,65,37,77,0.38,4,150,87,9
六安,60,26,67,0.43,13,100,68,8
漯河,76,22,76,0.5,8,157,129,8
洛阳,76,30,99,0.37,10,177,98,6
泸州,53,36,53,0.57,20,47,22,14
吕梁,55,26,52,0.6,17,163,100,57
马鞍山,52,11,42,0.4,10,129,101,7
茂名,30,17,29,0.8,9,75,51,3
眉山,38,26,35,0.6,16,94,63,6
梅州,50,22,49,0.6,9,122,82,7
绵阳,52,34,52,0.55,14,75,53,4
牡丹江,44,13,28,0.28,10,118,86,1
南昌,74,32,96,0.53,11,165,106,12
南充,53,35,54,0.58,15,96,50,3
南京,54,14,55,0.49,14,145,96,10
南宁,57,37,62,0.85,15,85,70,8
南平,56,20,51,0.5,6,120,106,4
南通,48,12,47,0.38,25,127,71,13
南阳,67,20,51,0.62,11,160,119,4
那曲地区,38,14,27,0.57,5,92,74,5
内江,47,22,46,0.5,17,67,36,4
宁波,53,17,48,0.54,25,159,102,8
宁德,57,29,62,0.63,20,118,80,10
怒江州,53,24,53,0.8,12,49,28,9
盘锦,64,21,74,1.0,19,160,115,13
攀枝花,42,24,41,1.0,19,116,79,15
蓬莱,0,0,0,0.0,0,0,0,0
平顶山,58,38,64,0.47,11,165,107,14
平度,73,16,59,0.55,7,155,126,7
平凉,66,39,80,0.75,22,78,74,7
萍乡,67,44,82,0.63,8,151,84,14
普洱,54,34,56,0.3,12,127,78,6
莆田,74,12,46,0.34,13,140,127,4
濮阳,64,22,71,0.53,8,159,115,6
黔东南州,51,34,50,0.65,20,66,53,28
黔南州,53,23,53,0.5,6,64,33,5
黔西南州,29,6,19,0.2,9,55,57,3
青岛,75,38,95,0.71,37,164,128,13
庆阳,45,21,34,0.73,12,87,89,4
清远,36,17,35,0.63,10,89,54,8
秦皇岛,77,34,74,0.98,22,174,131,16
钦州,42,26,41,0.8,7,74,53,9
齐齐哈尔,59,10,65,0.34,9,106,89,4
七台河,52,12,28,0.3,13,120,101,2
泉州,68,11,58,0.4,15,157,120,10
曲靖,53,29,54,0.7,5,125,87,9
衢州,50,16,47,0.43,11,130,99,5
日喀则,54,9,26,0.35,3,131,103,1
日喀则地区,29,6,27,0.35,2,68,56,5
日照,87,62,122,0.5,14,177,118,14
荣成,97,33,67,0.8,13,180,155,13
乳山,90,17,45,0.65,11,172,146,7
三门峡,92,52,132,0.6,9,169,114,12
三明,52,18,51,0.55,7,123,94,4
三沙,30,7,20,0.3,30,51,58,6
三亚,42,22,35,0.65,6,113,83,2
上海,45,17,41,0.4,19,136,89,5
商洛,62,26,72,0.6,9,143,101,20
商丘,229,178,179,1.23,33,95,77,8
上饶,67,31,81,0.4,7,158,104,4
山南,40,11,28,0.35,6,98,79,4
山南地区,40,5,21,0.45,6,65,79,4
汕头,70,18,64,0.6,14,142,122,9
汕尾,61,33,69,0.67,11,128,112,8
韶关,35,16,29,0.82,7,100,69,6
绍兴,86,35,120,0.57,22,159,97,12
邵阳,61,33,70,0.52,7,145,77,15
沈阳,65,33,78,0.64,19,141,93,15
深圳,55,34,58,0.65,15,121,89,4
石河子,58,9,64,0.4,7,105,67,7
石家庄,69,40,85,1.46,29,150,85,30
十堰,55,21,58,0.68,11,137,89,12
石嘴山,61,35,69,0.68,13,138,89,16
寿光,72,52,76,0.45,11,153,117,9
双鸭山,45,12,18,0.28,6,105,89,2
朔州,68,20,83,0.52,14,162,99,12
四平,56,10,48,0.53,13,134,105,8
松原,55,6,58,0.4,8,113,91,3
绥化,50,11,28,0.0,16,154,99,4
遂宁,43,30,42,0.48,8,102,63,10
